sku,name,description,url,group_id,gender,categories,primary_category,primary_end_use,image_url,color,price,in_stock
1000271-100,Men's Performance Jockstrap with Cup Pocket,Men's Performance Jockstrap with Cup Pocket,https://www.underarmour.com/en-us/mens-performance-jock-with-cup-pocket/pid1000271-100,1000271,Mens,Protective|Jock|3.5 in. or less,Apparel,Training,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1000271-100?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",White,14.99,TRUE
1002483-400,Boys' College Park Jersey,Boys' College Park Jersey,https://www.underarmour.com/en-us/boys-college-park-jersey/pcid1002483-400,1002483,Boys,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1002483-400_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Royal,22.99,TRUE
1002483-410,Boys' College Park Jersey,Boys' College Park Jersey,https://www.underarmour.com/en-us/boys-college-park-jersey/pcid1002483-410,1002483,Boys,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1002483-410_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Midnight Navy,22.99,TRUE
1002483-100,Boys' College Park Jersey,Boys' College Park Jersey,https://www.underarmour.com/en-us/boys-college-park-jersey/pcid1002483-100,1002483,Boys,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1002483-100_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",White,22.99,TRUE
1002483-600,Boys' College Park Jersey,Boys' College Park Jersey,https://www.underarmour.com/en-us/boys-college-park-jersey/pcid1002483-600,1002483,Boys,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1002483-600_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Red,22.99,TRUE
1002487-001,Boys' College Park Pant,Boys' College Park Pant,https://www.underarmour.com/en-us/boys-college-park-pant/pcid1002487-001,1002487,Boys,Bottoms|Pant|Straight Leg,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1002487-001?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=240,230&extend=0,1,0,0&cache=on,off&resMode=sharp2",Black ,26.99,TRUE
1002487-100,Boys' College Park Pant,Boys' College Park Pant,https://www.underarmour.com/en-us/boys-college-park-pant/pcid1002487-100,1002487,Boys,Bottoms|Pant|Straight Leg,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1002487-100?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=240,230&extend=0,1,0,0&cache=on,off&resMode=sharp2",White,26.99,TRUE
1004211-469,Men's Flats Guide Long Sleeve Shirt,Men's Flats Guide Long Sleeve Shirt,https://www.underarmour.com/en-us/mens-flats-guide-ii-long-sleeve/pcid1004211-469,1004211,Mens,Shirts & Tops|Long-Sleeve Shirt|Button-Down,Apparel,Fish,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1004211-469_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Cadet,52.99,TRUE
1005492-001,Men's UA Tactical Range Polo,Men's UA Tactical Range Polo,https://www.underarmour.com/en-us/mens-tactical-range-polo/pid1005492-001,1005492,Mens,Shirts & Tops|Short-Sleeve Shirt|Polo,Apparel,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1005492-001_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,49.99,TRUE
1005492-290,Men's UA Tactical Range Polo,Men's UA Tactical Range Polo,https://www.underarmour.com/en-us/mens-tactical-range-polo/pid1005492-290,1005492,Mens,Shirts & Tops|Short-Sleeve Shirt|Polo,Apparel,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1005492-290_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Desert Sand,49.99,TRUE
1005492-390,Men's UA Tactical Range Polo,Men's UA Tactical Range Polo,https://www.underarmour.com/en-us/mens-tactical-range-polo/pid1005492-390,1005492,Mens,Shirts & Tops|Short-Sleeve Shirt|Polo,Apparel,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1005492-390_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Marine OD Green,49.99,TRUE
1005492-465,Men's UA Tactical Range Polo,Men's UA Tactical Range Polo,https://www.underarmour.com/en-us/mens-tactical-range-polo/pid1005492-465,1005492,Mens,Shirts & Tops|Short-Sleeve Shirt|Polo,Apparel,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1005492-465_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Dark Navy Blue ,49.99,TRUE
1005492-600,Men's UA Tactical Range Polo,Men's UA Tactical Range Polo,https://www.underarmour.com/en-us/mens-tactical-range-polo/pid1005492-600,1005492,Mens,Shirts & Tops|Short-Sleeve Shirt|Polo,Apparel,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1005492-600_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Red,49.99,TRUE
1005684-001,Men’s UA Tactical Tech™ Short Sleeve T-Shirt,Men’s UA Tactical Tech™ Short Sleeve T-Shirt,https://www.underarmour.com/en-us/mens-tactical-short-sleeve-ua-tech-t/pid1005684-001,1005684,Mens,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1005684-001_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,24.99,TRUE
1005684-210,Men’s UA Tactical Tech™ Short Sleeve T-Shirt,Men’s UA Tactical Tech™ Short Sleeve T-Shirt,https://www.underarmour.com/en-us/mens-tactical-short-sleeve-ua-tech-t/pid1005684-210,1005684,Mens,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1005684-210_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Army Brown,24.99,TRUE
1005684-290,Men’s UA Tactical Tech™ Short Sleeve T-Shirt,Men’s UA Tactical Tech™ Short Sleeve T-Shirt,https://www.underarmour.com/en-us/mens-tactical-short-sleeve-ua-tech-t/pid1005684-290,1005684,Mens,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1005684-290_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Desert Sand,24.99,TRUE
1005684-390,Men’s UA Tactical Tech™ Short Sleeve T-Shirt,Men’s UA Tactical Tech™ Short Sleeve T-Shirt,https://www.underarmour.com/en-us/mens-tactical-short-sleeve-ua-tech-t/pid1005684-390,1005684,Mens,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1005684-390_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Marine OD Green,24.99,TRUE
1005684-465,Men’s UA Tactical Tech™ Short Sleeve T-Shirt,Men’s UA Tactical Tech™ Short Sleeve T-Shirt,https://www.underarmour.com/en-us/mens-tactical-short-sleeve-ua-tech-t/pid1005684-465,1005684,Mens,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1005684-465_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Dark Navy Blue ,24.99,TRUE
1201163-410,Men's HeatGear® Compression Long Sleeve T-Shirt,Men's HeatGear® Compression Long Sleeve T-Shirt,https://www.underarmour.com/en-us/mens-heatgear-long-sleeve/pcid1201163-410,1201163,Mens,Shirts & Tops|Long-Sleeve Shirt|Crew Neck,Apparel,Training,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1201163-410_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Midnight Navy,20.99,TRUE
1201505-100,Men's MPZ® Level 2 Hip Flex Skill Girdle,Men's MPZ® Level 2 Hip Flex Skill Girdle,https://www.underarmour.com/en-us/mens-mpz-level-ll-hip-flex-skill-girdle/pcid1201505-100,1201505,Mens,Bottoms|Girdle|3 Pad,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1201505-100?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=240,230&extend=0,1,0,0&cache=on,off&resMode=sharp2",White,26.99,TRUE
1201539-007,Men's UA Mirage,Men's UA Mirage,https://www.underarmour.com/en-us/mens-ua-mirage/pid1201539-007,1201539,Mens,Running|Trail|Low-Top,Footwear,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1201539-007_DEFAULT?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,84.99,TRUE
1202689-001,Boys' Sleeveless HeatGear® T-Shirt II,Boys' Sleeveless HeatGear® T-Shirt II,https://www.underarmour.com/en-us/boys-sleeveless-heatgear-t-ll/pcid1202689-001,1202689,Boys,Shirts & Tops|Tank|Traditional,Apparel,Training,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1202689-001_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,14.99,TRUE
1203060-946,Men's UA Camo ColdGear® Liner Gloves,Men's UA Camo ColdGear® Liner Gloves,https://www.underarmour.com/en-us/mens-ua-camo-coldgear-liner-glove/pid1203060-946,1203060,Mens,Gloves|Full Finger|Not Insulated,Accessories,Hunt,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1203060-946_F?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",REALTREE AP-XTRA,29.99,TRUE
1203060-900,Men's UA Camo ColdGear® Liner Gloves,Men's UA Camo ColdGear® Liner Gloves,https://www.underarmour.com/en-us/mens-ua-camo-coldgear-liner-glove/pid1203060-900,1203060,Mens,Gloves|Full Finger|Not Insulated,Accessories,Hunt,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1203060-900_B?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",REALTREE MAX 5,29.99,TRUE
1203060-906,Men's UA Camo ColdGear® Liner Gloves,Men's UA Camo ColdGear® Liner Gloves,https://www.underarmour.com/en-us/mens-ua-camo-coldgear-liner-glove/pid1203060-906,1203060,Mens,Gloves|Full Finger|Not Insulated,Accessories,Hunt,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1203060-906_B?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Mossy Oak Treestand,29.99,TRUE
1203060-941,Men's UA Camo ColdGear® Liner Gloves,Men's UA Camo ColdGear® Liner Gloves,https://www.underarmour.com/en-us/mens-ua-camo-coldgear-liner-glove/pid1203060-941,1203060,Mens,Gloves|Full Finger|Not Insulated,Accessories,Hunt,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1203060-941_B?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Mossy Oak Obsession,29.99,TRUE
1206694-410,Men's UA Strike Short Sleeve Soccer Jersey,Men's UA Strike Short Sleeve Soccer Jersey,https://www.underarmour.com/en-us/mens-ua-strike-jersey/pcid1206694-410,1206694,Mens,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Soccer,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1206694-410_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Midnight Navy,25.99,TRUE
1206695-100,Men's UA Strike Soccer Shorts,Men's UA Strike Soccer Shorts,https://www.underarmour.com/en-us/mens-ua-strike-short/pcid1206695-100,1206695,Mens,Bottoms|Short|7 in. to 10 in.,Apparel,Soccer,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1206695-100_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",White,19.99,TRUE
1207829-020,Men's UA HeatGear® Six Pocket Football Girdle,Men's UA HeatGear® Six Pocket Football Girdle,https://www.underarmour.com/en-us/mens-ua-heatgear-six-pocket-girdle/pcid1207829-020,1207829,Mens,Bottoms|Girdle|N/A,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1207829-020_HTF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=400,383&extend=0,0,0,173&cache=on,off&resMode=sharp2",Gray,29.99,TRUE
1207829-100,Men's UA HeatGear® Six Pocket Football Girdle,Men's UA HeatGear® Six Pocket Football Girdle,https://www.underarmour.com/en-us/mens-ua-heatgear-six-pocket-girdle/pcid1207829-100,1207829,Mens,Bottoms|Girdle|N/A,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1207829-100_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",White,22.99,TRUE
1208186-100,Boys' Six Pocket Football Girdle,Boys' Six Pocket Football Girdle,https://www.underarmour.com/en-us/boys-six-pocket-girdle/pcid1208186-100,1208186,Boys,Bottoms|Girdle|N/A,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1208186-100_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",White,12.99,TRUE
1209053-001,Men's HeatGear® Fitted Short Sleeve Crew,Men's HeatGear® Fitted Short Sleeve Crew,https://www.underarmour.com/en-us/mens-heatgear-fitted-short-sleeve-crew/pcid1209053-001,1209053,Mens,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Training,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1209053-001_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,17.99,TRUE
1209242-001,Men's Hitch Lite Cushion Boot Socks,Men's Hitch Lite Cushion Boot Socks,https://www.underarmour.com/en-us/mens-hitch-lite-cushion-boot-sock/pid1209242-001,1209242,Mens,Socks|Over The Calf|Seamless Toe,Accessories,Hunt,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1209242-001?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,15.99,TRUE
1209243-001,UA Armour™ Heavy Cushion Boot Socks ,UA Armour™ Heavy Cushion Boot Socks ,https://www.underarmour.com/en-us/ua-hitch-heavy-cushion-boot-socks/pid1209243-001,1209243,Mens,Socks|Over The Calf|Seamless Toe,Accessories,Hunt,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1209243-001_S?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,16.99,TRUE
1209243-385,UA Armour™ Heavy Cushion Boot Socks ,UA Armour™ Heavy Cushion Boot Socks ,https://www.underarmour.com/en-us/ua-hitch-heavy-cushion-boot-socks/pid1209243-385,1209243,Mens,Socks|Over The Calf|Seamless Toe,Accessories,Hunt,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1209243-385_S?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Sage,16.99,TRUE
1211106-351,Men's HeatGear® Boot Sock,Men's HeatGear® Boot Sock,https://www.underarmour.com/en-us/mens-heatgear-boot-sock/pid1211106-351,1211106,Mens,Socks|Over The Calf|Non-Seamless Toe,Accessories,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1211106-351?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Foliage Green,9.99,TRUE
1211106-001,Men's HeatGear® Boot Sock,Men's HeatGear® Boot Sock,https://www.underarmour.com/en-us/mens-heatgear-boot-sock/pid1211106-001,1211106,Mens,Socks|Over The Calf|Non-Seamless Toe,Accessories,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1211106-001?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,9.99,TRUE
1211106-220,Men's HeatGear® Boot Sock,Men's HeatGear® Boot Sock,https://www.underarmour.com/en-us/mens-heatgear-boot-sock/pid1211106-220,1211106,Mens,Socks|Over The Calf|Non-Seamless Toe,Accessories,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1211106-220?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Coyote Brown,9.99,TRUE
1212171-100,Women's ColdGear® Fitted Long Sleeve Crew,Women's ColdGear® Fitted Long Sleeve Crew,https://www.underarmour.com/en-us/womens-coldgear-fitted-crew/pid1212171-100,1212171,Womens,Tops|Long-Sleeve Shirt|Crew Neck,Apparel,Training,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1212171-100_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",White,49.99,TRUE
1212171-001,Women's ColdGear® Fitted Long Sleeve Crew,Women's ColdGear® Fitted Long Sleeve Crew,https://www.underarmour.com/en-us/womens-coldgear-fitted-crew/pid1212171-001,1212171,Womens,Tops|Long-Sleeve Shirt|Crew Neck,Apparel,Training,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1212171-001_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,49.99,TRUE
1212171-092,Women's ColdGear® Fitted Long Sleeve Crew,Women's ColdGear® Fitted Long Sleeve Crew,https://www.underarmour.com/en-us/womens-coldgear-fitted-crew/pid1212171-092,1212171,Womens,Tops|Long-Sleeve Shirt|Crew Neck,Apparel,Training,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1212171-092_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Carbon Heather,49.99,TRUE
1212733-001,UA Extreme ColdGear® Gloves,UA Extreme ColdGear® Gloves,https://www.underarmour.com/en-us/ua-extreme-coldgear-glove/pcid1212733-001,1212733,Unisex-Adult,Gloves|Full Finger|Not Insulated,Accessories,Running,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1212733-001?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,20.99,TRUE
1213002-368,Men's Big Flag Logo Tackle Twill Fleece Hoodie,Men's Big Flag Logo Tackle Twill Fleece Hoodie,https://www.underarmour.com/en-us/mens-big-flag-logo-tackle-twill-hoodie/pcid1213002-368,1213002,Mens,Shirts & Tops|Warm-up Top|Pull-Over Hoody,Apparel,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1213002-368_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",MAJOR,48.99,TRUE
1214283-100,Boys' HeatGear® Performance Jock with Cup,Boys' HeatGear® Performance Jock with Cup,https://www.underarmour.com/en-us/boys-heatgear-performance-jock-with-cup/pcid1214283-100,1214283,Boys,Bottoms|Jock|3.5 in. or less,Apparel,Training,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1214283-100_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",White,18.99,TRUE
1214288-100,Men's Performance Jockstrap with Cup,Men's Performance Jockstrap with Cup,https://www.underarmour.com/en-us/mens-performance-jock-with-cup/pid1214288-100,1214288,Mens,Bottoms|Jock|3.5 in. or less,Apparel,Training,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1214288-100?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",White,24.99,TRUE
1214301-002,Youth Armour® Athletic Cup II,Youth Armour® Athletic Cup II,https://www.underarmour.com/en-us/youth-armour-cup-ii/pid1214301-002,1214301,Boys,Protective|Cup|N/A,Accessories,Training,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1214301-002_F?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,14.99,TRUE
1214301-001,Youth Armour® Athletic Cup II,Youth Armour® Athletic Cup II,https://www.underarmour.com/en-us/youth-armour-cup-ii/pid1214301-001,1214301,Boys,Protective|Cup|N/A,Accessories,Training,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1214301-001?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,14.99,TRUE
1214302-001,Teen Armour® Athletic Cup II,Teen Armour® Athletic Cup II,https://www.underarmour.com/en-us/teen-armour-cup-ii/pid1214302-001,1214302,Boys,Protective|Cup|N/A,Accessories,Training,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1214302-001?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,14.99,TRUE
1214303-001,Men's Armour® Athletic Cup II,Men's Armour® Athletic Cup II,https://www.underarmour.com/en-us/-mens-armour-cup-ii/pid1214303-001,1214303,Mens,Protective|Cup|N/A,Accessories,Training,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1214303-001?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,14.99,TRUE
